Team,Home_Avg,Away_Avg,Overall_Avg,Home_Matches,Away_Matches
Nott'm Forest,0.17697425725798538,0.1981463050563206,0.18756028115715298,77.0,77.0
Brentford,0.18194436898170163,0.18564394436814965,0.18379415667492563,96.0,96.0
Bournemouth,0.17894391527621922,0.1804602457116312,0.17970208049392516,172.0,172.0
Wolves,0.1935209342751849,0.16366930392017637,0.17859511909768064,209.0,209.0
Brighton,0.17874460875530834,0.1780174899980988,0.17838104937670354,172.0,172.0
Chelsea,0.1688758168631993,0.1785387817003269,0.1737072992817631,457.0,457.0
Tottenham,0.17338597740220224,0.172033175624669,0.17270957651343563,457.0,457.0
Ipswich,0.16189721018959136,0.18157531468343285,0.17173626243651213,58.0,58.0
Man City,0.16936970573084545,0.17314137888369352,0.1712555423072695,419.0,419.0
Newcastle,0.1783178160953616,0.16105011660410987,0.16968396634973573,419.0,419.0
Arsenal,0.16312568686894674,0.17594992342741345,0.1695378051481801,457.0,457.0
Sheffield United,0.1737914680743014,0.1630576582785641,0.16842456317643276,76.0,76.0
Man United,0.16291872770373364,0.17379467371539545,0.16835670070956454,457.0,457.0
Aston Villa,0.16713299523629588,0.16667949866606457,0.16690624695118023,400.0,400.0
Sunderland,0.1667718600517178,0.16168121058666363,0.16422653531919068,286.0,286.0
Leeds,0.16589592846636375,0.15891475722629345,0.1624053428463286,153.0,153.0
Crystal Palace,0.16512853904820068,0.15893258940651758,0.16203056422735915,229.0,229.0
QPR,0.16294937767004408,0.15643911456115223,0.15969424611559815,57.0,57.0
Everton,0.16233916231891243,0.1554813739582634,0.1589102681385879,457.0,457.0
Hull,0.1519469016790804,0.16544689373510243,0.1586968977070914,77.0,77.0
West Ham,0.15732977251735478,0.15706752222796833,0.15719864737266154,437.0,437.0
Burnley,0.14408328791285804,0.1689599526946705,0.15652162030376426,190.0,190.0
Liverpool,0.15145082288033404,0.1608783049962987,0.15616456393831638,457.0,457.0
Huddersfield,0.16317552912769137,0.14588004178423003,0.15452778545596071,38.0,38.0
Watford,0.16052709938183415,0.1470378811385197,0.15378249026017693,152.0,152.0
Fulham,0.15358795765979796,0.15382435596765467,0.1537061568137263,305.0,305.0
Stoke,0.15422271587681316,0.15204113842144343,0.1531319271491283,171.0,171.0
Luton,0.1604353238952052,0.14547277747253765,0.15295405068387144,19.0,19.0
Norwich,0.16461452187366826,0.13908643213752236,0.1518504770055953,95.0,95.0
Leicester,0.14527392130317598,0.15801820726109442,0.1516460642821352,247.0,247.0
Swansea,0.16374693937111745,0.13835637147367896,0.1510516554223982,114.0,114.0
Wigan,0.14962450737969496,0.14650029439617274,0.14806240088793388,152.0,152.0
Southampton,0.14531304582422497,0.14914398792196973,0.14722851687309735,285.0,285.0
Blackburn,0.14162284079640236,0.14989459787714332,0.1457587193367728,171.0,171.0
West Brom,0.14279739234650815,0.14765792222533783,0.145227657285923,209.0,209.0
Cardiff,0.1590801596700639,0.13126682919328578,0.14517349443167485,19.0,19.0
Middlesbrough,0.14625455384391425,0.13000189164876502,0.13812822274633962,171.0,171.0
Bolton,0.13469265996893176,0.13957119255182468,0.13713192626037823,171.0,171.0
Birmingham,0.13928911044359676,0.1314864158866302,0.1353877631651135,95.0,95.0
Blackpool,0.11647520008552587,0.14288550280335682,0.12968035144444132,19.0,19.0
Portsmouth,0.1432371685285907,0.11563781663805069,0.12943749258332068,95.0,95.0
Reading,0.1346779011760191,0.12241368758854108,0.1285457943822801,57.0,57.0
Derby,0.10961660470636711,0.12853854819127983,0.11907757644882348,76.0,76.0
Charlton,0.12824493228472492,0.10858442688479764,0.11841467958476126,95.0,95.0
Coventry,0.12868581606319898,0.10286036712502275,0.11577309159411087,39.0,39.0
Bradford,0.06905485895974842,0.06039321960773819,0.06472403928374332,38.0,38.0
Sheffield Weds,0.0,0.0,0.0,19.0,19.0
Wimbledon,0.0,0.0,0.0,19.0,19.0
