"number";"player";"team";"apps";"min";"goals";"NPG";"a";"xG";"NPxG";"xA";"xGChain";"xGBuildup";"xG90";"NPxG90";"xA90";"xG90xA90";"NPxG90xA90";"xGChain90";"xGBuildup90"
1;"Bruno Fernandes";"Manchester United";2;180;3;2;1;2.25;1.49;0.62;3.16;1.66;1.12;0.74;0.31;1.43;1.05;1.58;0.83
2;"Mathis Cherki";"Manchester City";2;108;2;2;2;0.6;0.6;1.22;2.16;1.04;0.5;0.5;1.02;1.52;1.52;1.8;0.87
3;"Erling Haaland";"Manchester City";2;180;2;2;0;1.44;1.44;0;1.94;0.7;0.72;0.72;0;0.72;0.72;0.97;0.35
4;"João Pedro";"Chelsea";2;180;2;2;2;0.81;0.81;0.35;1.75;0.72;0.4;0.4;0.18;0.58;0.58;0.88;0.36
5;"Cole Palmer";"Chelsea";2;175;2;2;1;0.57;0.57;0.57;1.8;0.66;0.29;0.29;0.29;0.59;0.59;0.93;0.34
6;"Anthony Elanga";"Newcastle United";2;160;2;2;0;0.42;0.42;0.12;1.07;0.67;0.24;0.24;0.06;0.3;0.3;0.6;0.38
7;"Jack Hinshelwood";"Brighton";1;69;2;2;0;1.4;1.4;0.1;1.69;0.18;1.83;1.83;0.13;1.96;1.96;2.2;0.24
8;"Pascal Groß";"Brighton";2;180;1;1;0;0;0;0.48;0.65;0.45;0;0;0.24;0.24;0.24;0.32;0.23
9;"James Tarkowski";"Everton";2;180;1;1;0;0.12;0.12;0.01;0.03;0.03;0.06;0.06;0.01;0.06;0.06;0.01;0.01
10;"Chuba Akpom";"Ipswich";2;64;1;1;0;0.43;0.43;0;0.47;0.04;0.6;0.6;0;0.6;0.6;0.67;0.06
11;"Martin Odegaard";"Arsenal";1;78;1;1;0;0.23;0.23;0.29;0.64;0.43;0.27;0.27;0.33;0.6;0.6;0.74;0.49
12;"Semi Ajayi";"Hull";2;156;1;1;0;0.71;0.71;0;0.13;0.13;0.41;0.41;0;0.41;0.41;0.07;0.07
13;"Kai Havertz";"Arsenal";1;90;1;1;0;0.1;0.1;0.05;0.51;0.36;0.1;0.1;0.05;0.15;0.15;0.51;0.36
14;"Alexander Isak";"Liverpool";2;180;1;1;0;2.17;2.17;0.1;0.96;0.02;1.09;1.09;0.05;1.14;1.14;0.48;0.01
15;"Dominic Calvert-Lewin";"Leeds";2;180;1;1;0;0.93;0.93;0;0.96;0.03;0.47;0.47;0;0.47;0.47;0.48;0.02
16;"Yoane Wissa";"Newcastle United";2;173;1;1;1;1.59;1.59;0.13;1.24;0.14;0.83;0.83;0.07;0.89;0.89;0.64;0.07
17;"Pedro Neto";"Chelsea";2;82;1;1;0;0.65;0.65;0.13;0.65;0;0.72;0.72;0.14;0.86;0.86;0.72;0
18;"Bryan Mbeumo";"Manchester United";2;180;1;1;0;2;2;0.48;3.58;1.22;1;1;0.24;1.24;1.24;1.79;0.61
19;"Joe Willock";"Newcastle United";2;105;1;1;0;0.18;0.18;0.3;1.25;0.78;0.16;0.16;0.26;0.41;0.41;1.07;0.66
20;"Morgan Gibbs-White";"Nottingham Forest";2;180;1;0;1;0.9;0.14;0.28;0.49;0.15;0.45;0.07;0.14;0.59;0.21;0.24;0.07
21;"Wilson Isidor";"Sunderland";2;46;1;1;0;1.02;1.02;0;0.99;0;1.99;1.99;0;1.99;1.99;1.94;0
22;"Bukayo Saka";"Arsenal";1;70;1;1;0;0.78;0.78;0.05;1.15;0.42;1;1;0.06;1.06;1.06;1.47;0.54
23;"Marc Guehi";"Manchester City";2;180;1;1;0;0.65;0.65;0.52;2.92;2.92;0.32;0.32;0.26;0.58;0.58;1.46;1.46
24;"Dan Ndoye";"Nottingham Forest";2;133;1;1;0;0.65;0.65;0.94;1.6;1.09;0.44;0.44;0.63;1.07;1.07;1.08;0.74
25;"Leif Davis";"Ipswich";2;180;1;1;0;0.66;0.66;0.11;0.84;0.07;0.33;0.33;0.05;0.38;0.38;0.42;0.04
26;"Kevin Schade";"Brentford";2;180;1;1;0;0.7;0.7;0.12;0.92;0.18;0.35;0.35;0.06;0.41;0.41;0.46;0.09
27;"Vitaly Janelt";"Brentford";2;180;1;1;0;0.49;0.49;0.13;1.48;1;0.24;0.24;0.07;0.31;0.31;0.74;0.5
28;"Kiernan Dewsbury-Hall";"Everton";2;180;1;1;0;0.24;0.24;0.52;0.73;0.3;0.12;0.12;0.26;0.38;0.38;0.37;0.15
29;"Dominik Szoboszlai";"Liverpool";2;180;1;0;0;0.93;0.17;0.27;0.68;0.68;0.47;0.09;0.13;0.6;0.22;0.34;0.34
30;"Josko Gvardiol";"Manchester City";2;166;1;1;1;0.41;0.41;0.07;2.25;1.8;0.22;0.22;0.04;0.26;0.26;1.22;0.98
31;"Anton Stach";"Leeds";2;180;1;1;0;0.17;0.17;0.03;0.13;0.12;0.09;0.09;0.01;0.1;0.1;0.06;0.06
32;"Romeo Lavia";"Chelsea";2;137;1;1;0;1.23;1.23;0.18;0.62;0.55;0.81;0.81;0.12;0.92;0.92;0.41;0.36
33;"Marcus Tavernier";"Bournemouth";2;180;1;1;0;0.6;0.6;0.17;0.81;0.17;0.3;0.3;0.09;0.39;0.39;0.41;0.09
34;"Keane Lewis-Potter";"Brentford";2;180;1;1;1;0.59;0.59;0.17;0.94;0.82;0.29;0.29;0.08;0.38;0.38;0.47;0.41
35;"Michael Kayode";"Brentford";2;167;1;1;0;0.84;0.84;0.06;0.45;0.41;0.45;0.45;0.03;0.48;0.48;0.24;0.22
36;"Cody Gakpo";"Liverpool";2;164;1;1;1;0.23;0.23;0.96;1.37;0.97;0.12;0.12;0.52;0.65;0.65;0.75;0.53
37;"Gonzalo García";"Fulham";2;180;1;1;0;1.31;1.31;0;1.27;0.09;0.66;0.66;0;0.66;0.66;0.64;0.04
38;"Alex Scott";"Bournemouth";2;179;1;1;0;0.16;0.16;0.22;0.79;0.55;0.08;0.08;0.11;0.19;0.19;0.4;0.28
