HomeTeam,AwayTeam,FTHG,FTAG,FTR
AFC Fylde,AFC Telford United,2,1,H
AFC Fylde,Alfreton Town,3,0,H
AFC Fylde,Bedford Town,1,0,H
AFC Fylde,Buxton,1,2,A
AFC Fylde,Chester,2,2,D
AFC Fylde,Chorley,1,0,H
AFC Fylde,Curzon Ashton,5,1,H
AFC Fylde,Darlington,4,1,H
AFC Fylde,Hereford,2,1,H
AFC Fylde,Kidderminster Harriers,2,1,H
AFC Fylde,King's Lynn Town,4,1,H
AFC Fylde,Leamington,1,1,D
AFC Fylde,Macclesfield,5,1,H
AFC Fylde,Marine,2,0,H
AFC Fylde,Merthyr Town,1,0,H
AFC Fylde,Oxford City,3,2,H
AFC Fylde,Peterborough Sports,5,2,H
AFC Fylde,Radcliffe,4,3,H
AFC Fylde,Scarborough Athletic,2,1,H
AFC Fylde,South Shields,2,4,A
AFC Fylde,Southport,4,0,H
AFC Fylde,Spennymoor Town,5,0,H
AFC Fylde,Worksop Town,2,3,A
AFC Telford United,AFC Fylde,1,3,A
AFC Telford United,Alfreton Town,4,1,H
AFC Telford United,Bedford Town,2,2,D
AFC Telford United,Buxton,0,1,A
AFC Telford United,Chester,3,1,H
AFC Telford United,Chorley,2,2,D
AFC Telford United,Curzon Ashton,1,1,D
AFC Telford United,Darlington,1,1,D
AFC Telford United,Hereford,3,0,H
AFC Telford United,Kidderminster Harriers,1,2,A
AFC Telford United,King's Lynn Town,2,1,H
AFC Telford United,Leamington,1,2,A
AFC Telford United,Macclesfield,3,0,H
AFC Telford United,Marine,0,2,A
AFC Telford United,Merthyr Town,2,4,A
AFC Telford United,Oxford City,4,0,H
AFC Telford United,Peterborough Sports,3,2,H
AFC Telford United,Radcliffe,2,0,H
AFC Telford United,Scarborough Athletic,4,1,H
AFC Telford United,South Shields,1,1,D
AFC Telford United,Southport,2,2,D
AFC Telford United,Spennymoor Town,3,0,H
AFC Telford United,Worksop Town,2,1,H
Alfreton Town,AFC Fylde,0,1,A
Alfreton Town,AFC Telford United,1,0,H
Alfreton Town,Bedford Town,1,2,A
Alfreton Town,Buxton,2,2,D
Alfreton Town,Chester,0,2,A
Alfreton Town,Chorley,1,0,H
Alfreton Town,Curzon Ashton,3,3,D
Alfreton Town,Darlington,0,3,A
Alfreton Town,Hereford,2,1,H
Alfreton Town,Kidderminster Harriers,1,1,D
Alfreton Town,King's Lynn Town,1,1,D
Alfreton Town,Leamington,2,1,H
Alfreton Town,Macclesfield,0,2,A
