,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Brenden Aaronson,"FW,MF",us USA,21,1.eng Leeds United,2000,4,0,108,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
2,Ali Abdi,MF,tn Tunisia,28,2.fr Caen,1993,3,2,188,2.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
3,Salis Abdul Samed,MF,gh Ghana,22,1.fr Lens,2000,3,3,250,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
4,Saud Abdulhamid,"DF,MF",sa Saudi Arabia,22,1.sa Al-Hilal,1999,3,3,270,3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
5,Nawaf Al Abed,"FW,MF",sa Saudi Arabia,32,1.sa Al-Shabab,1990,2,0,88,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
6,Pape Abou Cissé,DF,sn Senegal,26,1.gr Olympiacos,1995,3,1,105,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
7,Vincent Aboubakar,FW,cm Cameroon,30,1.sa Al-Nassr,1992,3,1,142,1.6,2,1,3,2,0,0,2,1,1.27,0.63,1.9,1.27,1.9,Matches
8,Abdulrahman Al-Aboud,MF,sa Saudi Arabia,27,1.sa Al-Ittihad,1995,2,0,35,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
9,Zakaria Aboukhlal,"FW,MF",ma Morocco,22,1.fr Toulouse,2000,4,0,79,0.9,1,0,1,1,0,0,0,0,1.14,0,1.14,1.14,1.14,Matches
10,Kellyn Acosta,"DF,MF",us USA,26,1.us LAFC,1995,2,0,43,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
11,Marcos Acuña,"DF,MF",ar Argentina,30,1.es Sevilla,1991,6,4,373,4.1,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
12,Tyler Adams,MF,us USA,23,1.eng Leeds United,1999,4,4,360,4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
13,Sam Adekugbe,DF,ca Canada,27,1.tr Hatayspor,1995,3,1,95,1.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
14,Michel Aebischer,MF,ch Switzerland,25,1.it Bologna,1997,1,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
15,Akram Afif,FW,qa Qatar,25,1.qa Al Sadd,1996,3,3,270,3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
16,Nayef Aguerd,DF,ma Morocco,26,1.eng West Ham,1996,4,4,353,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
17,Brandon Aguilera,MF,cr Costa Rica,18,1.cr Asociación Deportiva Guanacasteca,2003,3,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
18,Homam Ahmed,"DF,MF",qa Qatar,22,1.qa Al-Gharafa Sports Club,1999,3,3,262,2.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
19,Manuel Akanji,DF,ch Switzerland,26,1.eng Manchester City,1995,4,4,360,4,1,0,1,1,0,0,1,0,0.25,0,0.25,0.25,0.25,Matches
20,Nathan Aké,DF,nl Netherlands,27,1.eng Manchester City,1995,5,5,479,5.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
21,Ahmed Alaaeldin,FW,qa Qatar,29,1.qa Al-Gharafa Sports Club,1993,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
